image_path,height,width,num_segments
/Users/parinitasedai/Downloads/contest_dataset/test/images/14037.png,321,481,705
/Users/parinitasedai/Downloads/contest_dataset/test/images/147091.png,321,481,9298
/Users/parinitasedai/Downloads/contest_dataset/test/images/148089.png,321,481,10731
/Users/parinitasedai/Downloads/contest_dataset/test/images/156065.png,321,481,15223
/Users/parinitasedai/Downloads/contest_dataset/test/images/157055.png,321,481,7423
/Users/parinitasedai/Downloads/contest_dataset/test/images/16077.png,321,481,5184
/Users/parinitasedai/Downloads/contest_dataset/test/images/163085.png,321,481,2920
/Users/parinitasedai/Downloads/contest_dataset/test/images/167062.png,321,481,2282
/Users/parinitasedai/Downloads/contest_dataset/test/images/167083.png,481,321,35227
/Users/parinitasedai/Downloads/contest_dataset/test/images/170057.png,321,481,2409
/Users/parinitasedai/Downloads/contest_dataset/test/images/175032.png,481,321,34500
/Users/parinitasedai/Downloads/contest_dataset/test/images/189080.png,481,321,1093
/Users/parinitasedai/Downloads/contest_dataset/test/images/219090.png,321,481,4894
/Users/parinitasedai/Downloads/contest_dataset/test/images/220075.png,321,481,5552
/Users/parinitasedai/Downloads/contest_dataset/test/images/229036.png,321,481,15910
/Users/parinitasedai/Downloads/contest_dataset/test/images/24077.png,321,481,7982
/Users/parinitasedai/Downloads/contest_dataset/test/images/241004.png,321,481,2021
/Users/parinitasedai/Downloads/contest_dataset/test/images/253027.png,321,481,11670
/Users/parinitasedai/Downloads/contest_dataset/test/images/260058.png,321,481,816
/Users/parinitasedai/Downloads/contest_dataset/test/images/271035.png,481,321,5151
/Users/parinitasedai/Downloads/contest_dataset/test/images/285079.png,481,321,9807
/Users/parinitasedai/Downloads/contest_dataset/test/images/291000.png,321,481,33924
/Users/parinitasedai/Downloads/contest_dataset/test/images/295087.png,321,481,6767
/Users/parinitasedai/Downloads/contest_dataset/test/images/296007.png,321,481,1053
/Users/parinitasedai/Downloads/contest_dataset/test/images/300091.png,321,481,3938
/Users/parinitasedai/Downloads/contest_dataset/test/images/304034.png,321,481,14688
/Users/parinitasedai/Downloads/contest_dataset/test/images/38092.png,321,481,8850
/Users/parinitasedai/Downloads/contest_dataset/test/images/41033.png,321,481,2699
/Users/parinitasedai/Downloads/contest_dataset/test/images/42049.png,321,481,2966
/Users/parinitasedai/Downloads/contest_dataset/test/images/43074.png,321,481,2906
/Users/parinitasedai/Downloads/contest_dataset/test/images/45096.png,321,481,998
/Users/parinitasedai/Downloads/contest_dataset/test/images/54082.png,481,321,5360
/Users/parinitasedai/Downloads/contest_dataset/test/images/58060.png,321,481,26338
/Users/parinitasedai/Downloads/contest_dataset/test/images/62096.png,321,481,11328
/Users/parinitasedai/Downloads/contest_dataset/test/images/69015.png,481,321,2891
/Users/parinitasedai/Downloads/contest_dataset/test/images/69040.png,321,481,8031
/Users/parinitasedai/Downloads/contest_dataset/test/images/76053.png,321,481,1703
/Users/parinitasedai/Downloads/contest_dataset/test/images/78004.png,481,321,4249
/Users/parinitasedai/Downloads/contest_dataset/test/images/8023.png,321,481,2503
/Users/parinitasedai/Downloads/contest_dataset/test/images/86000.png,481,321,7613
/Users/parinitasedai/Downloads/contest_dataset/test/images/86016.png,321,481,37039
/Users/parinitasedai/Downloads/contest_dataset/test/images/89072.png,481,321,7911
